"riding_id","date","prediction_338","probability_338","prediction_poliwave","probability_poliwave","prediction_signal","probability_signal","prediction","probability"
24027,2025-04-01,"LPC",0.95,"LPC",0.972400672878874,"LPC",0.95,"LPC",0.957466890959625
24028,2025-04-01,"LPC",0.95,"LPC",0.99,"LPC",0.95,"LPC",0.963333333333333
24029,2025-04-01,"BQ",0.8,"BQ",0.643665885869221,"BQ",0.5,"BQ",0.647888628623074
24030,2025-04-01,"BQ",0.65,"CPC",0.509387541533942,"CPC",0.65,"CPC",0.386462513844647
24031,2025-04-01,"LPC",0.5,"BQ",0.50119480929677,"LPC",0.65,"LPC",0.383333333333333
24032,2025-04-01,"LPC",0.65,"LPC",0.645411659480202,"LPC",0.8,"LPC",0.698470553160067
24033,2025-04-01,"BQ",0.8,"BQ",0.585386897367277,"BQ",0.5,"BQ",0.628462299122426
24034,2025-04-01,"LPC",0.95,"LPC",0.937664253803693,"LPC",0.8,"LPC",0.895888084601231
24035,2025-04-01,"LPC",0.95,"LPC",0.815434663239073,"LPC",0.95,"LPC",0.905144887746358
24036,2025-04-01,"BQ",0.65,"BQ",0.590815228240185,"BQ",0.5,"BQ",0.580271742746728
24037,2025-04-01,"LPC",0.95,"LPC",0.887514245674761,"LPC",0.95,"LPC",0.92917141522492
24038,2025-04-01,"LPC",0.95,"LPC",0.829161658066839,"LPC",0.8,"LPC",0.859720552688946
24039,2025-04-01,"LPC",0.5,"BQ",0.515265523724302,"LPC",0.5,"LPC",0.333333333333333
24040,2025-04-01,"CPC",0.95,"CPC",0.822063828573586,"CPC",0.8,"CPC",0.857354609524529
24041,2025-04-01,"LPC",0.95,"LPC",0.765058680115356,"LPC",0.95,"LPC",0.888352893371785
24042,2025-04-01,"LPC",0.8,"LPC",0.705022127468527,"LPC",0.8,"LPC",0.768340709156176
24043,2025-04-01,"LPC",0.8,"LPC",0.725706379994714,"LPC",0.8,"LPC",0.775235459998238
24044,2025-04-01,"CPC",0.95,"CPC",0.82172050730273,"CPC",0.8,"CPC",0.85724016910091
24045,2025-04-01,"LPC",0.95,"LPC",0.787637700499243,"LPC",0.8,"LPC",0.845879233499748
24046,2025-04-01,"CPC",0.95,"CPC",0.970062784127677,"CPC",0.8,"CPC",0.906687594709225
24047,2025-04-01,"BQ",0.8,"LPC",0.519230150011998,"LPC",0.5,"LPC",0.339743383337333
24048,2025-04-01,"LPC",0.95,"LPC",0.77921268158603,"LPC",0.8,"LPC",0.84307089386201
24049,2025-04-01,"LPC",0.8,"LPC",0.637046334481739,"LPC",0.8,"LPC",0.745682111493913
24050,2025-04-01,"BQ",0.8,"BQ",0.651147815222951,"BQ",0.65,"BQ",0.700382605074317
24051,2025-04-01,"CPC",0.8,"CPC",0.611851099709597,"CPC",0.8,"CPC",0.737283699903199
24052,2025-04-01,"LPC",0.95,"LPC",0.963297778162511,"LPC",0.95,"LPC",0.954432592720837
24053,2025-04-01,"LPC",0.95,"LPC",0.943561901486226,"LPC",0.95,"LPC",0.947853967162075
24054,2025-04-01,"LPC",0.95,"LPC",0.955425500386776,"LPC",0.95,"LPC",0.951808500128925
24055,2025-04-01,"LPC",0.5,"BQ",0.553385969313585,"BQ",0.5,"BQ",0.351128656437862
24056,2025-04-01,"LPC",0.95,"LPC",0.865255904914819,"LPC",0.8,"LPC",0.87175196830494
24057,2025-04-01,"LPC",0.95,"LPC",0.817140361660462,"LPC",0.8,"LPC",0.855713453886821
24058,2025-04-01,"CPC",0.95,"CPC",0.86225025038752,"CPC",0.8,"CPC",0.870750083462506
24059,2025-04-01,"LPC",0.95,"LPC",0.767475522316758,"LPC",0.8,"LPC",0.839158507438919
24060,2025-04-01,"LPC",0.5,"BQ",0.506152832579451,"LPC",0.5,"LPC",0.333333333333333
24061,2025-04-01,"CPC",0.95,"CPC",0.719900343239154,"CPC",0.8,"CPC",0.823300114413051
24062,2025-04-01,"BQ",0.8,"BQ",0.626102526202383,"BQ",0.5,"BQ",0.642034175400794
24063,2025-04-01,"LPC",0.8,"LPC",0.672910675818484,"LPC",0.8,"LPC",0.757636891939495
24064,2025-04-01,"BQ",0.8,"BQ",0.610902689548224,"BQ",0.5,"BQ",0.636967563182741
24065,2025-04-01,"NDP",0.8,"NDP",0.620918298153384,"NDP",0.95,"NDP",0.790306099384461
24066,2025-04-01,"BQ",0.65,"BQ",0.558448654145347,"BQ",0.5,"BQ",0.569482884715116
24067,2025-04-01,"LPC",0.5,"LPC",0.525795549700209,"LPC",0.65,"LPC",0.558598516566736
24068,2025-04-01,"LPC",0.95,"LPC",0.896312061602236,"LPC",0.8,"LPC",0.882104020534078
24069,2025-04-01,"LPC",0.95,"LPC",0.99,"LPC",0.95,"LPC",0.963333333333333
24070,2025-04-01,"LPC",0.95,"LPC",0.807952093398409,"LPC",0.8,"LPC",0.852650697799469
24071,2025-04-01,"LPC",0.8,"LPC",0.612007272156323,"LPC",0.8,"LPC",0.737335757385441
24072,2025-04-01,"LPC",0.95,"LPC",0.793421026647143,"LPC",0.8,"LPC",0.847807008882381
24073,2025-04-01,"LPC",0.5,"LPC",0.590846480613517,"LPC",0.65,"LPC",0.580282160204506
24074,2025-04-01,"LPC",0.8,"LPC",0.674692389722813,"LPC",0.8,"LPC",0.758230796574271
24075,2025-04-01,"LPC",0.5,"LPC",0.53442142858297,"LPC",0.5,"LPC",0.511473809527657
24076,2025-04-01,"LPC",0.95,"LPC",0.924194435406947,"LPC",0.8,"LPC",0.891398145135649
24077,2025-04-01,"LPC",0.95,"LPC",0.900383840751916,"LPC",0.95,"LPC",0.933461280250639
24078,2025-04-01,"LPC",0.95,"LPC",0.875250349791245,"LPC",0.8,"LPC",0.875083449930415
35001,2025-04-01,"LPC",0.95,"LPC",0.860999116637612,"LPC",0.95,"LPC",0.920333038879204
35002,2025-04-01,"CPC",0.95,"CPC",0.785827089536638,"CPC",0.95,"CPC",0.895275696512213
35003,2025-04-01,"LPC",0.65,"LPC",0.604613340341922,"LPC",0.5,"LPC",0.584871113447307
35004,2025-04-01,"CPC",0.8,"CPC",0.647371217132658,"CPC",0.8,"CPC",0.749123739044219
35005,2025-04-01,"CPC",0.8,"CPC",0.611971273065854,"CPC",0.8,"CPC",0.737323757688618
35006,2025-04-01,"CPC",0.65,"LPC",0.522844644030831,"CPC",0.5,"CPC",0.383333333333333
35007,2025-04-01,"LPC",0.95,"LPC",0.99,"LPC",0.95,"LPC",0.963333333333333
35008,2025-04-01,"CPC",0.8,"CPC",0.550705949982023,"CPC",0.8,"CPC",0.716901983327341
35009,2025-04-01,"LPC",0.95,"LPC",0.695321648161702,"LPC",0.8,"LPC",0.815107216053901
35010,2025-04-01,"LPC",0.95,"LPC",0.730841171482439,"LPC",0.8,"LPC",0.826947057160813
35011,2025-04-01,"LPC",0.95,"LPC",0.763448994791333,"LPC",0.95,"LPC",0.887816331597111
35012,2025-04-01,"LPC",0.95,"LPC",0.724961112992349,"LPC",0.8,"LPC",0.824987037664116
35013,2025-04-01,"LPC",0.95,"LPC",0.767333648413277,"LPC",0.8,"LPC",0.839111216137759
35014,2025-04-01,"LPC",0.95,"LPC",0.807795300190057,"LPC",0.95,"LPC",0.902598433396685
35015,2025-04-01,"CPC",0.8,"CPC",0.606146137903556,"CPC",0.65,"CPC",0.685382045967852
35016,2025-04-01,"CPC",0.95,"CPC",0.749363932060226,"CPC",0.95,"CPC",0.883121310686742
35017,2025-04-01,"LPC",0.8,"LPC",0.679848754865728,"LPC",0.65,"LPC",0.709949584955243
35018,2025-04-01,"LPC",0.8,"LPC",0.70347227757375,"LPC",0.65,"LPC",0.717824092524583
35019,2025-04-01,"LPC",0.8,"LPC",0.597610393470472,"LPC",0.5,"LPC",0.632536797823491
35020,2025-04-01,"CPC",0.8,"CPC",0.65089707144443,"CPC",0.8,"CPC",0.75029902381481
35021,2025-04-01,"CPC",0.8,"CPC",0.691104623870551,"CPC",0.8,"CPC",0.763701541290184
35022,2025-04-01,"LPC",0.95,"LPC",0.99,"LPC",0.95,"LPC",0.963333333333333
35023,2025-04-01,"LPC",0.8,"LPC",0.683935419165975,"LPC",0.8,"LPC",0.761311806388658
35024,2025-04-01,"LPC",0.95,"LPC",0.772453338371205,"LPC",0.95,"LPC",0.890817779457068
35025,2025-04-01,"CPC",0.8,"CPC",0.664877360860645,"CPC",0.8,"CPC",0.754959120286882
35026,2025-04-01,"LPC",0.65,"LPC",0.566279229252129,"LPC",0.65,"LPC",0.622093076417376
35027,2025-04-01,"CPC",0.95,"CPC",0.83047900691487,"CPC",0.95,"CPC",0.910159668971623
35028,2025-04-01,"CPC",0.95,"CPC",0.728439958754075,"CPC",0.95,"CPC",0.876146652918025
35029,2025-04-01,"LPC",0.8,"LPC",0.679281489911845,"LPC",0.8,"LPC",0.759760496637282
35030,2025-04-01,"LPC",0.8,"LPC",0.687214771956376,"LPC",0.8,"LPC",0.762404923985459
35031,2025-04-01,"LPC",0.95,"LPC",0.792926651481084,"LPC",0.95,"LPC",0.897642217160361
35032,2025-04-01,"CPC",0.8,"CPC",0.534267714540745,"CPC",0.65,"CPC",0.661422571513582
35033,2025-04-01,"LPC",0.95,"LPC",0.773772527255734,"LPC",0.8,"LPC",0.841257509085245
35034,2025-04-01,"CPC",0.8,"CPC",0.71414385789855,"CPC",0.8,"CPC",0.771381285966183
35035,2025-04-01,"CPC",0.95,"CPC",0.761552943038526,"CPC",0.95,"CPC",0.887184314346175
35036,2025-04-01,"LPC",0.5,"NDP",0.581731409718194,"NDP",0.8,"NDP",0.460577136572731
35037,2025-04-01,"LPC",0.8,"LPC",0.683594688599751,"LPC",0.65,"LPC",0.711198229533251
35038,2025-04-01,"LPC",0.8,"LPC",0.738244872696034,"LPC",0.65,"LPC",0.729414957565345
35039,2025-04-01,"LPC",0.95,"LPC",0.752046209426199,"LPC",0.8,"LPC",0.834015403142066
35040,2025-04-01,"CPC",0.8,"CPC",0.58431777869201,"CPC",0.65,"CPC",0.67810592623067
35041,2025-04-01,"LPC",0.95,"LPC",0.934603527367234,"LPC",0.95,"LPC",0.944867842455745
35042,2025-04-01,"CPC",0.95,"CPC",0.74553259216595,"CPC",0.95,"CPC",0.88184419738865
35043,2025-04-01,"LPC",0.8,"LPC",0.720552085987212,"LPC",0.65,"LPC",0.723517361995737
35044,2025-04-01,"LPC",0.65,"LPC",0.613165546421288,"LPC",0.5,"LPC",0.587721848807096
35045,2025-04-01,"CPC",0.8,"CPC",0.733661397945382,"CPC",0.95,"CPC",0.82788713264846
35046,2025-04-01,"LPC",0.95,"LPC",0.812347990187961,"LPC",0.8,"LPC",0.85411599672932
35047,2025-04-01,"CPC",0.65,"LPC",0.571065410257725,"CPC",0.5,"CPC",0.383333333333333
35048,2025-04-01,"GPC",0.65,"GPC",0.566386064022746,"CPC",0.5,"GPC",0.405462021340915
35049,2025-04-01,"LPC",0.65,"LPC",0.572406917614595,"LPC",0.5,"LPC",0.574135639204865
35050,2025-04-01,"LPC",0.65,"LPC",0.582084201197982,"LPC",0.5,"LPC",0.577361400399327
